RestaurantID,Cuisine,Name,NumberOfReviews,Rating,Location,Coordinates
xq0cX_DgxiJMXwhmEl9kUA,Chinese,Café China,1038,4,"{'address1': '13 E 37th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['13 E 37th St', 'New York, NY 10016']}","{'latitude': 40.7499225208569, 'longitude': -73.9819464127197}"
FXhSEZfIqjMZh4hR0_8jMQ,Chinese,China Xiang,289,4,"{'address1': '360 W 42nd Street', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['360 W 42nd Street', 'New York, NY 10036']}","{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}"
X8ZS-dgiMIJvhwf9SaDnjw,Chinese,Wah Fung No 1,940,4.5,"{'address1': '79 Chrystie St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['79 Chrystie St', 'New York, NY 10002']}","{'latitude': 40.71735, 'longitude': -73.99457}"
ojbH3wnRu050hRhkmoxRiA,Chinese,Han Dynasty,404,4,"{'address1': '215 W 85th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['215 W 85th St', 'New York, NY 10024']}","{'latitude': 40.78752, 'longitude': -73.97647}"
6tASYtO9zOrXr8-LPnAToQ,Chinese,Zest Szechuan,324,4,"{'address1': '45 W 39th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['45 W 39th St', 'New York, NY 10018']}","{'latitude': 40.75274, 'longitude': -73.98445}"
bVkjBJlAIwKAj9Aw1KVWjA,Chinese,Dim Sum Palace,645,4,"{'address1': '334 W 46th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['334 W 46th St', 'New York, NY 10036']}","{'latitude': 40.76015, 'longitude': -73.9893699}"
0dDCDQz7DrKkSvu9h2hcQw,Chinese,Chow House,67,4.5,"{'address1': '181 Bleecker St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['181 Bleecker St', 'New York, NY 10012']}","{'latitude': 40.72915, 'longitude': -74.00072}"
wfhMIiMh2A2psCGONOVSlg,Chinese,Han Dynasty,992,4,"{'address1': '90 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['90 3rd Ave', 'New York, NY 10003']}","{'latitude': 40.732072, 'longitude': -73.988074}"
xCHApgtkLpEyh0lz-uhZvg,Chinese,Szechuan Garden,187,4,"{'address1': '239 W 105th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['239 W 105th St', 'New York, NY 10025']}","{'latitude': 40.8003719688892, 'longitude': -73.9676491308602}"
w3wKbjuNCZnYoPOr-FCk5w,Chinese,New Moon,53,4.5,"{'address1': '536 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['536 3rd Ave', 'New York, NY 10016']}","{'latitude': 40.74692, 'longitude': -73.97766}"
lynQoI3w_pzYfHGeuUU-Qg,Chinese,Shu Jiao Fu Zhou Cuisine Restaurant,477,4.5,"{'address1': '118 Eldridge St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['118 Eldridge St', 'New York, NY 10002']}","{'latitude': 40.7184290357839, 'longitude': -73.9916928979573}"
0CjK3esfpFcxIopebzjFxA,Chinese,Joe's Shanghai,5037,4,"{'address1': '9 Pell St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['9 Pell St', 'New York, NY 10013']}","{'latitude': 40.7146691442891, 'longitude': -73.9977602206654}"
HScFap2SwbUlfC-QXVkxFA,Chinese,Xi'an Famous Foods,1306,4,"{'address1': '24 W 45th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['24 W 45th St', 'New York, NY 10036']}","{'latitude': 40.75585, 'longitude': -73.98078}"
oowNI_aUmGEFa_VW8BFgRg,Chinese,Tri Dim Shanghai,148,4,"{'address1': '1378 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1378 3rd Ave', 'New York, NY 10075']}","{'latitude': 40.77395, 'longitude': -73.95793}"
lQ8Fzgji9qmgRXkFcvAsVQ,Chinese,Chong Qing Xiao Mian,179,4,"{'address1': '796 9th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['796 9th Ave', 'New York, NY 10019']}","{'latitude': 40.76507, 'longitude': -73.98739}"
croh2zWlbPyCQTNS11klcg,Chinese,Sichuan Manor,44,4,"{'address1': '258 W 44th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['258 W 44th St', 'New York, NY 10036']}","{'latitude': 40.7581711239604, 'longitude': -73.9883149042726}"
5YBYGnZtTGJABXC4Jahhzg,Chinese,Jasmine Restaurant,156,4,"{'address1': '216 E 49th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['216 E 49th St', 'New York, NY 10017']}","{'latitude': 40.75467, 'longitude': -73.97057}"
