Cuisine,NumberOfReviews,Rating,Recommended,RestaurantID
Chinese,940,4.5,1,X8ZS-dgiMIJvhwf9SaDnjw
Chinese,477,4.5,1,lynQoI3w_pzYfHGeuUU-Qg
Chinese,421,4.5,1,LpVbI-E9C-CSp7WhU5h2Iw
Chinese,1439,4.5,1,B3_K2kUVbYOU0VaLcj_LTw
Chinese,1676,4.5,1,PBUIaPtgnhmdHE3KHglK-g
Chinese,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Chinese,638,4.5,1,FlZ1zdVEKWv7dwqm8Uw8-w
Chinese,529,4.5,1,wGFSTTB6b4MHJJUzBnVJeg
Chinese,578,4.5,1,a-Bq_yXFVk2PptoWpmry3w
Thai,1439,4.5,1,B3_K2kUVbYOU0VaLcj_LTw
Thai,529,4.5,1,wGFSTTB6b4MHJJUzBnVJeg
Thai,578,4.5,1,a-Bq_yXFVk2PptoWpmry3w
Thai,443,4.5,1,3GMHPnrkFAcqffw3T7JSdQ
Thai,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Thai,421,4.5,1,LpVbI-E9C-CSp7WhU5h2Iw
Thai,529,4.5,1,mESab-FqL5QqSVsnX72asQ
Thai,1400,4.5,1,j0n_poMVZnODYOFviLbh0Q
Thai,486,4.5,1,TcuWyuZAORVnQBPCMNbTgw
Indian,1158,4.5,1,x0k5kFArHLijdY8-NEQ7Xg
Indian,1151,4.5,1,sCC7-hSdCkNPExejZT9BAQ
Indian,687,4.5,1,9pMhRYYgV7E9L7pzECtJKA
Indian,1023,4.5,1,lxNU-aBq0yPwBDx-i89ahA
Indian,447,4.5,1,tIjQyHOubGeKRnx4wSwOeA
Indian,1400,4.5,1,j0n_poMVZnODYOFviLbh0Q
Turkey,652,4.5,1,3Ic4C60oSH1cV2jknUXSjQ
Turkey,434,4.5,1,OTpQbSQNGiGudqJKJASmpw
Japanese,638,4.5,1,FlZ1zdVEKWv7dwqm8Uw8-w
Japanese,422,4.5,1,ytABgZNWnFXQUjOYjh460A
Japanese,529,4.5,1,mESab-FqL5QqSVsnX72asQ
Japanese,637,4.5,1,8fr5FYU1ip0phERt1mrekg
Japanese,424,4.5,1,TBp9gdS6xEbSQqffVZ7iag
Japanese,1083,4.5,1,zGAQqDu0Ak2khVYs9WdQxw
Japanese,486,4.5,1,TcuWyuZAORVnQBPCMNbTgw
Japanese,429,4.5,1,diCW3Pj1PTVRSyol_d7cZw
Japanese,496,4.5,1,wSGZA3DOFSUvALZRKCM_Sw
Japanese,1382,4.5,1,JUPxlDVMxuRSsqMcH6RCVg
Japanese,846,4.5,1,FoR70YoGSb4_QavCe1WZEw
Japanese,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Japanese,641,4.5,1,lESxFswvOPUFUzj6HsTnqw
Japanese,466,4.5,1,fVsH6QIJPzXpVbgmeiolsA
Japanese,1439,4.5,1,B3_K2kUVbYOU0VaLcj_LTw
Japanese,462,4.5,1,4CAJ-JvgbzBdoWq1CXtCFw
Japanese,421,4.5,1,LpVbI-E9C-CSp7WhU5h2Iw
French,1980,4.5,1,ETgJqJHV7BW6pIr9Ox74sA
French,1454,4.5,1,FiRB9Ek3Xo9JHwXgBYITYg
French,415,4.5,1,s3jou_L_LVYGkNHiuhjlew
French,2104,4.5,1,vRrVSB-LegwUwIxpkeRVtQ
French,1378,4.5,1,1DfbZ0VsSCg9g1KILmnvzQ
French,542,4.5,1,50fWXrNECQQYght4ZWeBXQ
French,1676,4.5,1,PBUIaPtgnhmdHE3KHglK-g
French,757,4.5,1,t-ODuKsmRseJoTEVKQzsdg
French,1363,4.5,1,DZaN3bNWfwcm__sNw5bvDg
French,1770,4.5,1,nRO136GRieGtxz18uD61DA
French,1523,4.5,1,ehUuSk5gPTCQmwS_ubgKRA
Spanish,490,4.5,1,cUyfnb3E7HvzNfbTgTjl_Q
Spanish,672,4.5,1,KfZI6oovMvG5tLd0NFBeKQ
Spanish,607,4.5,1,WqjqHMozyW42XLTtLnKGag
Spanish,412,4.5,1,9YXvNE2jpEhA4k6M8WDH7A
Spanish,538,4.5,1,26E3j9l0XW_onVIUP-ThCw
Spanish,1980,4.5,1,ETgJqJHV7BW6pIr9Ox74sA
Spanish,1089,4.5,1,hJrZIHNRVUuC_PXAORxj9g
Spanish,820,4.5,1,fVbUVAiLiGgLA_nxBFxyww
Spanish,683,4.5,1,zekbMn7KWtzxTFLtfEqb1w
Spanish,835,4.5,1,c3D2ckzacnPtdGIM8tb-_w
Spanish,1136,4.5,1,f8TZ_ctcSwxwW8S69YKnwg
Italian,1475,4.5,1,rp8S7scxOkVVeG7dNneMGQ
Italian,875,4.5,1,jdNdy-MwBtnXoBGC_JVvwQ
Italian,757,4.5,1,A2DV-AQIXRYUMu5Ak5mjxg
Italian,444,4.5,1,MeUq9lombxM9alxs64tejQ
Italian,469,4.5,1,abZ-mEvF6Tj4hfyIg0lKwQ
Italian,436,4.5,1,OLa3-KQO9rHjswo55E3Jgg
Italian,835,4.5,1,c3D2ckzacnPtdGIM8tb-_w
Italian,454,4.5,1,8qSOz7oTPUUCafsMOBBNEQ
Italian,1711,4.5,1,zj8Lq1T8KIC5zwFief15jg
Italian,767,4.5,1,1ZKbUeFAs0ltSnAYq4ELKw
Italian,407,4.5,1,ADHX7nBixDPVlq3OXhny0g
Italian,664,4.5,1,06tnwnEQM2j9A6dC3HC_TQ
Italian,1136,4.5,1,f8TZ_ctcSwxwW8S69YKnwg
Italian,1980,4.5,1,ETgJqJHV7BW6pIr9Ox74sA
Italian,581,4.5,1,b6jOwyX4iaagw8YjXqq1sA
Italian,1050,4.5,1,pGr5QuQU7Ur5GHLvXbT8bw
Italian,607,4.5,1,WqjqHMozyW42XLTtLnKGag
