Cuisine,NumberOfReviews,Rating,RestaurantID,bestAnswer,score
Chinese,1038,4,xq0cX_DgxiJMXwhmEl9kUA,0,2.85E-01
Chinese,289,4,FXhSEZfIqjMZh4hR0_8jMQ,0,2.62E-01
Chinese,404,4,ojbH3wnRu050hRhkmoxRiA,0,2.62E-01
Chinese,324,4,6tASYtO9zOrXr8-LPnAToQ,0,2.50E-01
Chinese,645,4,bVkjBJlAIwKAj9Aw1KVWjA,0,3.29E-01
Chinese,67,4.5,0dDCDQz7DrKkSvu9h2hcQw,1,9.97E-01
Chinese,992,4,wfhMIiMh2A2psCGONOVSlg,0,2.85E-01
Chinese,187,4,xCHApgtkLpEyh0lz-uhZvg,0,2.40E-01
Chinese,53,4.5,w3wKbjuNCZnYoPOr-FCk5w,1,9.97E-01
Chinese,5037,4,0CjK3esfpFcxIopebzjFxA,0,2.93E-01
Chinese,1306,4,HScFap2SwbUlfC-QXVkxFA,0,3.28E-01
Chinese,148,4,oowNI_aUmGEFa_VW8BFgRg,0,2.40E-01
Chinese,179,4,lQ8Fzgji9qmgRXkFcvAsVQ,0,2.40E-01
Chinese,44,4,croh2zWlbPyCQTNS11klcg,0,2.40E-01
Chinese,156,4,5YBYGnZtTGJABXC4Jahhzg,0,2.40E-01
Chinese,67,4,SBJHGtqJyfaU47NPjGAU6A,0,2.40E-01
Chinese,1260,3.5,6hacsz7FUwprKTjJb6KFog,0,3.28E-01
Chinese,8,5,i6RhqnCJ_oUfTu5LikGXUg,0,2.40E-01
Chinese,270,4,dDXtga5Kgo5B1twdezcZJA,0,2.01E-01
Chinese,95,4,jc7lVTvmYMIK5RNpENtS6w,0,2.40E-01
Chinese,86,4,eVDV1ALwvre01Xo8v6BCoQ,0,2.40E-01
Chinese,385,4,BPErPpKSNluwcjbKRgze3w,0,1.61E-01
Chinese,65,4,gJXNSJ9VXTuCFmp_Kl9TVQ,0,2.40E-01
Chinese,57,4.5,ZCAkVl5SeCDeBWg_xjfYeg,1,9.97E-01
Chinese,12,3.5,a93NwZxjkPQydJxR42oPyg,0,2.40E-01
Chinese,268,4,tsHdT1GDibhYYA0JA7Z9tg,0,2.01E-01
Chinese,261,4.5,0vg2Z-HPwkyVVX613j2ysg,1,9.94E-01
Chinese,376,3.5,SVJNB9LqI13jtVyKMZVqeg,0,1.61E-01
Chinese,383,4,Kqb7MjTPNkjPMoFRd-rWpw,0,1.61E-01
Chinese,26,4,Aux2Mp7bGnF3S6h60ab3iQ,0,2.40E-01
Chinese,204,4,sfsjk1h50ooC2ioY7m48gw,0,2.40E-01
Chinese,470,4,0k678lCWQyReNi0lARlOmw,0,2.27E-01
Chinese,448,3.5,qGgQMVExGERqGhZNDM2ROg,0,2.98E-01
Chinese,112,3.5,Bwj7nzWphGV6FaZ_ygTSOg,0,2.40E-01
Chinese,170,4.5,A-ert0jDRBfku9ogyW_mEg,1,9.97E-01
Chinese,768,4,neQM053ovAOrf1sVSAPI9w,0,1.90E-01
Chinese,50,4,douRKPVxuo8BEOkMxgVl_w,0,2.40E-01
Chinese,351,4,7ZQSMqWzvXMSetXnii2fBg,0,1.61E-01
Chinese,123,4,#NAME?,0,2.40E-01
Chinese,166,3.5,lgS9lE0Y9FhzT68zCj5QCw,0,2.40E-01
Chinese,139,4,YdAtCf_13UK-uvXuOMrhNg,0,2.40E-01
Chinese,837,3.5,uiQ6p_3biJD5S4PrF58t_g,0,3.30E-01
Chinese,174,3.5,jwKPVep2qZYBUA6SLLQPvg,0,2.40E-01
Chinese,118,4,I_Va7AZSHpEwX75S-3hHLQ,0,2.40E-01
Chinese,1045,4,H1jops1lmuhrq9lP7lEGJQ,0,2.85E-01
Chinese,23,4,#NAME?,0,2.40E-01
Chinese,1457,4,Gd3_3mxOvj2xYiqysV8rbQ,0,3.08E-01
Chinese,387,3.5,wurhcLKXD4YJ5XfTxpbE5Q,0,2.34E-01
Chinese,327,4.5,R7EGjHWw0tNheY6-ahH8fQ,1,9.97E-01
Chinese,46,4,MXstrG3HjF83LcxAd8OpTw,0,2.40E-01
Chinese,147,4,wDuf4Qz9qsC62amLZgWNJQ,0,2.40E-01
Chinese,165,4,MdDj13LgIs0WdbIdiyqB7Q,0,2.40E-01
Chinese,190,4.5,pBNMZp_tKCAfRNx7-ybcHQ,1,9.97E-01
Chinese,522,4,kwqOmEwWJ0D9PyCdFGE3-g,0,3.90E-01
Chinese,100,4,lSrdxUNxyMgh5YU903JUiw,0,2.40E-01
Chinese,155,3.5,u5-S5ElOzXnavuZ2gFsCpg,0,2.40E-01
Chinese,1291,4,R26zweQ8-xoZS7iHkXQOvw,0,3.28E-01
Chinese,140,4,WRPJeH3goSpj5ke3Pkrnfw,0,2.40E-01
Chinese,268,3.5,1dFOF1HPaThSCsdiqR7DrA,0,2.01E-01
Chinese,12,4.5,3kq1_dUIPrA6BFTuX-M6mw,1,9.97E-01
Chinese,357,4,ynB8T3htx8s5V0YV8gVPGA,0,1.61E-01
Chinese,147,4,_WXa2M3gz2Mi0ys3s88nDw,0,2.40E-01
Chinese,343,3.5,scTDvJ2M2jDbb1ntVeIyxA,0,1.61E-01
Chinese,217,3.5,mDajKjZjRN4tVGEJFOgF9w,0,2.40E-01
Chinese,3376,4,nI1UYDCYUTt23TpGxqnLKg,0,2.93E-01
Chinese,124,3.5,UNyGz06_7RendbswIyNYtA,0,2.40E-01
Chinese,214,3.5,IqbHVeqgewmbeSMXBhbqSw,0,2.40E-01
Chinese,273,3.5,6dVXDdgzDEVt4DvHzpWo9w,0,2.01E-01
Chinese,178,4,x64xHVZoQj1ZOjzPqVprkw,0,2.40E-01
Chinese,25,4.5,sxv1oJxG8uu6u4tjKHiJMA,1,9.97E-01
Chinese,52,3.5,s5JNxy0eAFgxS2Poi73ODw,0,2.40E-01
Chinese,580,4,C7CFAdrczXxNhnN-MNJqmw,0,3.31E-01
Chinese,776,4,bnDfFdiCcPzhuNWUJORvLQ,0,1.90E-01
Chinese,295,4,l44CFBTejwL0ElKmkH7xQQ,0,2.62E-01
Chinese,912,3.5,SNhDVaf_n7VDZcfry8mYdA,0,3.30E-01
Chinese,154,3.5,AxalkZb61r5Ks7l1yhhIHQ,0,2.40E-01
Chinese,54,3.5,Qgv2vyUV-DwK8YwrhU-jtw,0,2.40E-01
Chinese,50,4,8xDbEfYXuPwi-94LLcb22A,0,2.40E-01
Chinese,169,4,hh0W5CPtx2MoyQGb1kAEEA,0,2.40E-01
Chinese,301,4,XiIBASyS65DX3E_staW0JQ,0,2.62E-01
Chinese,1770,4,M-odQWSEfsR2mVEw7nKG-g,0,3.16E-01
Chinese,486,4,8ig0yf0003DAp4YOGTlbVg,0,3.47E-01
Chinese,101,4,D13m2P0qKQUWNqIW-lpHZg,0,2.40E-01
Chinese,76,4.5,HjUwZOlok1TabhS4S1ya2w,1,9.97E-01
Chinese,268,3.5,wDRgZ1i7xcJ51xgtfO-fxQ,0,2.01E-01
Chinese,150,3,sR-KTsDa4vafaDak9Ik2sQ,0,1.47E-03
Chinese,14,4,b2d8CP6sKQotFjzZX0Thtw,0,2.40E-01
Chinese,179,3.5,7T7L3GgX_rA88SlCfd0QBw,0,2.40E-01
Chinese,235,3.5,38KDbZ8yuozUbswBr6OWVA,0,2.40E-01
Chinese,90,4,DKGUSLiqNchBNatKoPM9QQ,0,2.40E-01
Chinese,42,4,Qsc2DrX3IR-uGfwnUlOzcA,0,2.40E-01
Chinese,21,3.5,hBbAmEYXM4L03AU9Vt_p9g,0,2.40E-01
Chinese,139,3.5,Jy7htqnnxlKB2vZO42_-aw,0,2.40E-01
Chinese,124,4,oJjMYhA6z1_BVaQpSdyl8g,0,2.40E-01
Chinese,2226,4,IhSVn0TaX8xXb3wcQ-fgcA,0,2.93E-01
Chinese,123,4.5,9-vKFnUby_6-pR6UJxjzMw,1,9.97E-01
Chinese,25,4,54om5q7V4anmIXw2PdNJbA,0,2.40E-01
Chinese,37,4,DOa_Hm5HHT99GOvlhbydaQ,0,2.40E-01
Chinese,1353,4,97q5nUQTuBo_h00XCxna2A,0,3.28E-01
Chinese,112,3.5,8FJ8XVa-duF8rPeyfscUPg,0,2.40E-01
Chinese,229,4,bcqTacyE-0XDaZYG_xbTBQ,0,2.40E-01
Chinese,474,4,Va_mnsEvBghHXvc7uZIWJQ,0,3.15E-01
Chinese,464,4,oe8GEFE4QLFAKt87y7zcgA,0,2.72E-01
Chinese,128,3,WRRs3smfm6rHP5k4Slzr3w,0,1.47E-03
Chinese,463,4,B87c3bE_u53yNYO1cmHSIw,0,2.72E-01
Chinese,145,4,omOPvWNdukvWOC0peXPyng,0,2.40E-01
Chinese,1365,4,Lbs8QBRN1U7IYBo5Mcv-RQ,0,3.28E-01
Chinese,384,3.5,Qn-qGoIkj-9uApdxb_VTeA,0,1.61E-01
Chinese,8,4,vSkCDRWX6VvP4PJHHFgoDw,0,2.40E-01
Chinese,21,4.5,4p5Fzyt3-mEYFKIYqZ54aA,1,9.97E-01
Chinese,58,4,yDfgB1nvvuABZVzVjoJV7A,0,2.40E-01
Chinese,10,4,_fZQDgmasvWBtCTj9583lg,0,2.40E-01
Chinese,688,3.5,EFihj7vsRRXiF5la-UURyw,0,3.13E-01
Chinese,218,3.5,R3UNnA8EbjhNWBHS0wJ0VA,0,2.40E-01
Chinese,54,3,01m-oqxaCifh0s0eU03bBg,0,1.47E-03
Chinese,44,3,hWkbadE0u-Eiqg9SAm176Q,0,1.47E-03
Chinese,161,3.5,NmJ2xtfZrscfWB_a5wEbXQ,0,2.40E-01
Chinese,33,4.5,k8GFfCXO2FIIJIo0ICYSRA,1,9.97E-01
Chinese,18,5,tA_AoGEL_oGllbU2j77Shw,0,2.40E-01
Chinese,146,3.5,unz_YBwCWg-O5id5rxSyDA,0,2.40E-01
Chinese,158,4,WIj12zDqIbBucW1hXYhrew,0,2.40E-01
Chinese,138,3,gQ6DNeLNWQV-zwWyuFeBpg,0,1.47E-03
Chinese,734,3.5,rEbwps11tIERRkwQrIXQog,0,3.13E-01
Chinese,52,4,5TnBfeoBpxPPwIXMGBMasg,0,2.40E-01
Chinese,73,3.5,3ESDUFulPVoMJdsqPQGm0A,0,2.40E-01
Chinese,103,4,ZdLS7gD1ulmCPkqNc9_S3A,0,2.40E-01
Chinese,1352,3.5,rYw5rQbWRX9buZHZbxqWdA,0,3.28E-01
Chinese,92,3.5,KSYV3rNYaKWW-AHN4_i-7A,0,2.40E-01
Chinese,758,3.5,uaFHoq-a5XqxF-bsOK9_Qg,0,2.97E-01
Chinese,26,4,EN9_LsFpY44Hkzcnu0jfIg,0,2.40E-01
Chinese,72,3,ybQV8joopvU1_gG2RwLRog,0,1.47E-03
Chinese,283,3.5,AgTj_2PYIKP519hexQCvCg,0,2.01E-01
Chinese,1137,3.5,zubN8Ve-RyoljRZV4NRxEQ,0,3.23E-01
Chinese,81,3.5,E1QQuFMX7DAEt8jV4attkA,0,2.40E-01
Chinese,99,4,5RjZCsXuWPclyrDsnsXw7w,0,2.40E-01
Chinese,175,4,WzdVUuFIv1JzLPTZRnTjVA,0,2.40E-01
Chinese,70,4.5,XfHgiIsoo1Pr_v04bx9ptg,1,9.97E-01
Chinese,97,3.5,U5dCWjAxrvLLMH1ErpGfvw,0,2.40E-01
Chinese,348,3.5,l1nX-f46dmOEmYPoiuLSaw,0,1.61E-01
Chinese,23,3.5,Cyv-tW4BljwWnP16HI_zAg,0,2.40E-01
Chinese,12,3.5,BbODF2tZuw4xW_RFwMzwRg,0,2.40E-01
Chinese,10,3.5,L6fT2SWSRlwBEc3jWqV2Ig,0,2.40E-01
Chinese,79,4,ru9KtvY8f_b2SKrKwtS3CA,0,2.40E-01
Chinese,235,4,Lp8vAE5nHSt5zbu-lSGK8A,0,2.40E-01
Chinese,27,3.5,OX2B4KARPKNTxC39wpcqDA,0,2.40E-01
Chinese,134,4,mxjv5RgkTr5qw3wjr2fXmA,0,2.40E-01
Chinese,22,3.5,h4co9O0SLuvhTtr_Cs9IIQ,0,2.40E-01
Chinese,29,3,wxUTM-FkpCvnoTGJfSXkWg,0,1.47E-03
Chinese,108,3,MYPes7EWP5aLiVG1Z_9eFQ,0,1.47E-03
Chinese,188,3,6kCo3xb87Sc3Aa5ZSWzNnw,0,1.47E-03
Chinese,21,3.5,e-6UcplEErq2Hj14-eiM6Q,0,2.40E-01
Chinese,157,3.5,KBZQN540Xz6LbXLRVOMc0w,0,2.40E-01
Chinese,366,3.5,RkcQl4uEJWblWf4xX8ssqQ,0,1.61E-01
Chinese,314,4,AvTezlpt3GXTdSEnXbHP4w,0,2.50E-01
Chinese,4,4.5,zWDiH7KpUhRhv1cPNExMDg,1,9.97E-01
Chinese,64,4.5,rBUTVjRs5CcEMe3dfVRZJQ,1,9.97E-01
Chinese,90,4.5,_Ge2eC89Z-jlaDDWglfT8g,1,9.97E-01
Chinese,252,3.5,PQ2ZlhuTlJpvMUgvsAwtmQ,0,2.40E-01
Chinese,10,4,PRd1P_8glLwB5cNO-hFEcw,0,2.40E-01
Chinese,252,3.5,Nt3Y26a6OMtdBe8xMMJjqQ,0,2.40E-01
Chinese,113,3,7hh2eP4HVkyjtpcqeITk3Q,0,1.47E-03
Chinese,90,3.5,zyG1GIU3KnIZ3bOVGgJXlA,0,2.40E-01
Chinese,341,3.5,ePVlFbTzdVQFWie__kdplg,0,1.61E-01
Chinese,72,4,NjBgTtcJgdXKLvqYt3C8CQ,0,2.40E-01
Chinese,28,4,y8xZmhrp6zKnxJNtqFa_8g,0,2.40E-01
Chinese,43,3.5,w0pDi_iMZd5MqYQ7t5q1dQ,0,2.40E-01
Chinese,176,3,dTZ-q8CwEDo9iVKM0tydnQ,0,1.47E-03
Chinese,11,3,AjZ9hwJRu77jgWIrnhsGcg,0,1.47E-03
Chinese,503,3.5,B7bxdtvLYR7Nmex4AIFd4w,0,3.17E-01
Chinese,74,3.5,RffIwNrMmEf5auDVP1eURA,0,2.40E-01
Chinese,5,4,EgBPFtixZK9VhRtFsobDxg,0,2.40E-01
Chinese,188,3,fUhBM10aNrkVGvHJ2Hbhqw,0,1.47E-03
Chinese,88,3,GJZnf3B-ADjlCV1NXsHvGQ,0,1.47E-03
Chinese,28,4,lv0qUfiaHPXKO8lfYu6R4g,0,2.40E-01
Chinese,88,3,ItZ8CzZAGXGjB8_9HxDIXg,0,1.47E-03
Chinese,13,4.5,VQ5YGa4L4AT3ugF61hM9qQ,1,9.97E-01
Chinese,349,4,ynIx549QFj29o84y1RSGyw,0,1.61E-01
Chinese,23,4,2VQDEQuK3xLFNktPBIpmuQ,0,2.40E-01
Chinese,30,3.5,vPbJRg5umcRMELTDsJik_A,0,2.40E-01
Chinese,336,3.5,OvdCm3j_5HzItolfvwrEUA,0,1.61E-01
Chinese,400,3.5,mOP2_wjgUMqELKDL1Y-U-A,0,2.62E-01
Chinese,138,3.5,rL5F8YnQq9SY0hyece4W2w,0,2.40E-01
Chinese,43,4.5,c1HgKFOT4Cc7TqWQD5mQBQ,1,9.97E-01
Chinese,239,3.5,UtrW_dBuT5aqxSzx0FUICQ,0,2.40E-01
Chinese,30,4.5,3OT1deSiIYhrcXWJ1sD3wA,1,9.97E-01
Chinese,38,3,dP6SmZ5E5Nj64-3zZMjGSg,0,1.47E-03
Chinese,216,4,vZgJyMZlpSSS_Y-duxd4_A,0,2.40E-01
Chinese,44,3.5,gxEYxWqKVhs8xBw9Lvd7hA,0,2.40E-01
Chinese,84,3.5,bgnM6uy66zupYzb4QdL3vA,0,2.40E-01
Chinese,167,4,eMmcNV51xPKNGMCqBccPvw,0,2.40E-01
Chinese,143,3,OfqANzeWRlZrdHQuG7pI0w,0,1.47E-03
Chinese,389,3.5,9v-JAffC6qw8Xp67BICByQ,0,2.34E-01
Chinese,47,3.5,3NYQQckItp9l7GDzALw79w,0,2.40E-01
Chinese,130,3.5,bDsXyYwzk4I9_7l51D_gaA,0,2.40E-01
Chinese,10,3.5,4OGtGzKP6fvRu7MfQMRSEQ,0,2.40E-01
Chinese,220,3,Ece_DRuD1yQjRPJBAebRpw,0,1.47E-03
Chinese,135,3.5,Jn7Wtek5_R12TKp2VUJuhw,0,2.40E-01
Chinese,138,4,DNSFvZtdsqkaidmFSpm-Jw,0,2.40E-01
Chinese,119,3.5,Myp2rEB3yEcdaZIRe0S3Ww,0,2.40E-01
Chinese,186,3,Sj2StOWkhHIPE6_sS5RMCQ,0,1.47E-03
Chinese,199,3.5,kyJ0CtJ2Lrid_YdZWobf7w,0,2.40E-01
Chinese,51,3.5,2pnhIRBUw58PpN8CQEYiZA,0,2.40E-01
Chinese,202,4,sMoKKcyUslHmHe0NmCYgfg,0,2.40E-01
Chinese,125,3.5,LQ6x_oaOhRrlG9i8p-Fubw,0,2.40E-01
Chinese,6,3.5,xZ19F2iiWiA36LAS5PH_GA,0,2.40E-01
Chinese,55,3,98SsKXNs37ohAQERZbBPJg,0,1.47E-03
Chinese,246,3,Qwd4Tv-CqgO2Yl9zZgkKOQ,0,1.47E-03
Chinese,400,4,UiBQ8Uyu4wfOtEM1Rr8ycA,0,2.62E-01
Chinese,110,4,3W6S2wraTAj5y4Cd8eQvvw,0,2.40E-01
Chinese,273,4,lKxmH-hQ6ezKbq4URKrd-Q,0,2.01E-01
Chinese,46,2.5,XaEFFUabnbH8ZF7ccmSAlQ,0,3.96E-02
Chinese,18,4,ZBuUVSietNeZ0sCD7Z7Hdg,0,2.40E-01
Chinese,66,3.5,LqMHxKckcnSRWrJ6T_irnw,0,2.40E-01
Chinese,55,4,K0qsGnFv-edPDqVBdLCocQ,0,2.40E-01
Chinese,168,4,gcEMZjjqy5Ucnv_5Pv-q1g,0,2.40E-01
Chinese,27,3.5,3uJAt1EHG0x9pz_c91AHuQ,0,2.40E-01
Chinese,656,4,U74_3F7r3tMhd6dmTmDBxQ,0,3.29E-01
Chinese,55,3,rtucksGJ2MebjJ0PqjIPaw,0,1.47E-03
Chinese,113,3.5,QBhHq4eN7rtFzmDUciVL-Q,0,2.40E-01
Chinese,481,4,1MqGlFP3b7H77fzUkJMKgw,0,3.15E-01
Chinese,137,3.5,YigPOZxASGQX1IniEyCp8g,0,2.40E-01
Chinese,31,3.5,wo7-TKh4B37RTBjPNtkp7w,0,2.40E-01
Chinese,40,4,96D85AGxI37JNnveZbC6CA,0,2.40E-01
Chinese,72,3.5,3Qpi419I29t3sCHMzC_h-g,0,2.40E-01
Chinese,2,3,mL43TXtc0WlFCfhlN0ziHQ,0,1.47E-03
Chinese,51,3.5,BcOuqkUniZJG5NLpdzeOYQ,0,2.40E-01
Chinese,112,4,bpeeh-kkay0ZE7mGXsCVKQ,0,2.40E-01
Chinese,185,2.5,inp9N7bo9zqQSa8h8UBhqg,0,3.96E-02
Chinese,455,4,bT4CDzyhV-frXV6ijvXnvw,0,2.72E-01
Chinese,102,3,hdiQrGDT8enOzpxaipBzNA,0,1.47E-03
Chinese,48,2.5,IQ91FltwJmIPhS6fKKf2pw,0,3.96E-02
Chinese,74,3.5,bacGm8cL-vUPHdR18_M7bw,0,2.40E-01
Chinese,80,3.5,YCen62jqSWhPOAorQjSZdQ,0,2.40E-01
Chinese,20,3.5,Wezt_3dALzHmfXjHOPG4GQ,0,2.40E-01
Chinese,1090,3.5,d_TC6Om2EBTzHVm_lCgNtg,0,3.23E-01
Chinese,40,4,KavW0SjAiElP2ajaexNQDQ,0,2.40E-01
Chinese,51,3.5,VDbMrjBq-XAKZTS_cgB9_A,0,2.40E-01
Chinese,549,3.5,Vzx-7-jSEBz2g8NuGVhHvQ,0,3.17E-01
Chinese,1619,4,NN3mOWF5e_pnR1ArqM2bHQ,0,2.07E-01
Chinese,186,4,6OWMji5GiqRlRPZSb1lJ4A,0,2.40E-01
Chinese,70,3,D-PPbfPcCNyKs7w0J4tMvQ,0,1.47E-03
Chinese,89,4,agCuWjaUJ8xBO_PDDQRiGw,0,2.40E-01
Chinese,819,4,tguMh2GgOcU9fu6WN3dqpw,0,1.90E-01
Chinese,133,3,xOL2SC34gdhKHSbyaDz9BA,0,1.47E-03
Chinese,93,3.5,zb78ua-FlfFRj8v082giBw,0,2.40E-01
Chinese,26,4,4zuvAX0g_h_vBgE34oALhg,0,2.40E-01
Chinese,87,3.5,1YGpTYD8xIuUpK_beMhzSw,0,2.40E-01
Chinese,75,3.5,TadRviRC9Z1WhgSsGi3Yow,0,2.40E-01
Chinese,14,3,yVI01P3ApyLlkqtOfgki7A,0,1.47E-03
Chinese,17,4,5tWpAFpF618KJxBhHJzF7g,0,2.40E-01
Chinese,363,4,43r4ynjeIZeQI1w7SWARuQ,0,1.61E-01
Chinese,1249,3.5,L37A2JWXfwR_PgKColA8xA,0,3.28E-01
Chinese,70,4,YIwYw_A_LRwK66HBTzogYQ,0,2.40E-01
Chinese,155,4,iSjPBJRiWqrgxW7ZM3CGig,0,2.40E-01
Chinese,32,2.5,y8Z9Tos6qtDVd0X0QVm70g,0,3.96E-02
Chinese,38,3,5dzFMuClH9CDvfaUuIKWeg,0,1.47E-03
Chinese,58,3,9j5r0NlYKRkBTVvnAcUcwg,0,1.47E-03
Chinese,7,3.5,Pm9g4v6bpq9_OEigK0jHYA,0,2.40E-01
Chinese,42,3,F2KRHRtnIAZJezs9UC2u6w,0,1.47E-03
Chinese,137,3.5,rkeH5HJIuX7ZcOaYNum9xA,0,2.40E-01
Chinese,261,4,ovOupYdkZOWUeDMOdt--ng,0,1.36E-01
Chinese,225,3,zYoL-o9YJpGTwJ-Gmj8AFA,0,1.47E-03
Chinese,208,4,3Rah-cvFk79duFQ83voQ5A,0,2.40E-01
Chinese,39,3.5,AbfZkSRMtiHE3naWrN-0Eg,0,2.40E-01
Chinese,17,4,akWRnF0VFJLJD4uOnGWB-g,0,2.40E-01
Chinese,1749,3.5,B3i4zs5wquFu1UZyzYJ-bQ,0,3.16E-01
Chinese,819,4,ev6e12vhY_0y4qE1cRhv0A,0,1.90E-01
Chinese,227,3.5,a2sxaQooPmq9r7Cc-Umunw,0,2.40E-01
Chinese,56,4,SNDUD4LFjVHWwrdAkokxRg,0,2.40E-01
Chinese,228,3,MXYtu8-0eNkW6L4firJfcw,0,1.47E-03
Chinese,17,3.5,Cj1RTtW3zZF_eDqYRZBMYQ,0,2.40E-01
Chinese,74,4,sgKNAn72O2XMQXS6AWmf9w,0,2.40E-01
Chinese,53,3.5,5sG_S51rleFhCKLgQpXc_g,0,2.40E-01
Chinese,12,4,J_CmfwKnzYbfRHvncl7uVA,0,2.40E-01
Chinese,83,3,AeLz0uoZH3hxmkcXlwUIGg,0,1.47E-03
Chinese,185,2.5,LYp3izplqg0x-h9CBlb-MQ,0,3.96E-02
Chinese,1,5,IQ5i53Mt-xFE73eJZZMt-A,0,2.40E-01
